key,zh,en,th
请填写排序,请填写排序,,กรุณากรอกเรียงลำดับ
添加产品,添加产品,,การเพิ่มผลิตภัณฑ์
确定修改参数吗？,确定修改参数吗？,,ต้องการแก้ไขพารามิเตอร์หรือไม่?
玩家ID(可选),玩家ID(可选),,ID ผู้เล่น(เลือก)
查询,查询,query,ค้นหา
带出,带出,,นำออก
带入,带入,,นำเข้า
插入时间,插入时间,,เวลาแทรก
尝试次数,尝试次数,,จำนวนครั้งที่ทดลอง
排队中,排队中,,รอคิว
已处理，第三方有记录,已处理，第三方有记录,,ได้รับการดำเนินการแล้ว มีบันทึกจากช่องทางสาม
已处理，第三方无记录,已处理，第三方无记录,,ได้รับการดำเนินการแล้ว ไม่มีบันทึกจากช่องทางสาม
未处理，超时,未处理，超时,,ไม่ได้ดำเนินการ เกินเวลา
已处理，人工补单,已处理，人工补单,,ได้รับการดำเนินการแล้ว เติมแมนนวล
已补单,已补单,,ชดเชยสำเร็จ
玩家ID,玩家ID,,IDผู้เล่น
添加公告,添加公告,,เพิ่มประกาศ
标题,标题,,หัวเรื่อง
内容,内容,,เนื้อหา
启用,启用,,เปิดใช้
截止日期,截止日期,,วันที่สิ้นสุด
公告,公告,,ประกาศ
尺寸,尺寸,,ขนาด
文字,文字,,ข้อความ
请填写标题,请填写标题,,กรุณากรอกหัวเรื่อง
请选择类型,请选择类型,,กรุณาเลือกประเภท
请编辑内容,请编辑内容,,กรุณาแก้ไขเนื้อหา
请选择截止日期,请选择截止日期,,กรุณาเลือกวันที่สิ้นสุด
验证码,验证码,,รหัสOTP
查询结果,查询结果,,ผลการค้นหา
添加白名单,添加白名单,,เพิ่มWhite list
白名单,白名单,,White list
客服ID,客服ID,,IDแอดมิน
客服链接,客服链接,,ลิงค์แอดมิน
客服类型,客服类型,,ประเภทแอดมิน
上分,上分,,เติมเงิน
下分,下分,,ถอนเงิน
其他,其他,,อื่นๆ
请填写客服链接,请填写客服链接,,กรุณากรอกลิ้งค์ติดต่อแอดมิน
请选择客服类型,请选择客服类型,,กรุณาเลือกประเภทแอดมิน
添加菜单,添加菜单,,เพิ่มเมนู
菜单名称,菜单名称,,ชื่อเมนู
前端路由,前端路由,,Front-end routing
添加下级,添加下级,,เพิ่มสายล่าง
菜单,菜单,,เมนู
请填写菜单名,请填写菜单名,,กรุณากรอกชื่อเมนู
请填写备注,请填写备注,,กรุณาระบุหมายเหตุ
请填写前端路由,请填写前端路由,,กรุณากรอกFront-end routing
添加权限组,添加权限组,,เพิ่มกลุ่มสิทธิ์
权限名称,权限名称,,ชื่อสิทธิ์
设置权限,设置权限,,ตั้งค่าสิทธิ์
权限,权限,,สิทธิ์
请填写权限名称,请填写权限名称,,กรุณาระบุชื่อสิทธิ์
添加成功,添加成功,,เพิ่มสำเร็จ
添加管理员,添加管理员,,เพิ่มผู้ดูแลระบบ
权限ID,权限ID,,IDสิทธิ์
谷歌二维码,谷歌二维码,,QR Code Google
谷歌验证码,谷歌验证码,,รหัสยืนยันGoogle
有效标志,有效标志,,สัญลักษณ์ที่ถูกต้อง
管理员,管理员,,ผู้ดูแลระบบ
权限组,权限组,,กลุ่มสิทธิ์
请填写用户名,请填写用户名,,กรุณากรอกชื่อผู้ใช้
请选择权限组,请选择权限组,,กรุณาเลือกกลุ่มสิทธิ์
～找不到当前页面了～,～找不到当前页面了～,,～ไม่พบหน้าเว็บปัจจุบัน～
返回首页,返回首页,,กลับสู่หน้าหลัก
流水号不存在,流水号不存在,,ไม่พบเลขสเตทเม้น
无,无,,ไม่มี
系统判定恶意注册多帐号套利，再检测到即取消提款资格。,系统判定恶意注册多帐号套利，再检测到即取消提款资格。,,ระบบตรวจพบการลงทะเบียนหลายบัญชีที่ส่อเจตนาทุจริต หากตรวจพบอีกครั้ง ระบบจะยกเลิกสิทธิ์การถอนเงินทันที
"系统判定恶意注册多帐号套利,再检测到即封锁相关IP帐号。","系统判定恶意注册多帐号套利,再检测到即封锁相关IP帐号。",,"ระบบตรวจพบการลงทะเบียนหลายบัญชีที่ส่อเจตนาทุจริต หากตรวจพบอีกครั้ง ระบบจะบล็อกทุกIPที่เกี่ยวข้องทันที "
本次提款不符合平台替则，详情请联系客服。,本次提款不符合平台替则，详情请联系客服。,,การถอนเงินครั้งนี้ไม่เป็นไปตามกฎของแพลตฟอร์ม สอบถามรายละเอียดเพิ่มเติม โปรดติดต่อฝ่ายบริการลูกค้า
游戏列表,游戏列表,,รายการเกม
充值记录,充值记录,,ประวัติการเติม
提现记录,提现记录,,ประวัติการถอน
充值赠送,充值赠送,,ยอดแถมจากการเติม
金币小于10解锁锁金锁水。,金币小于10解锁锁金锁水。,,เมื่อยอดคงเหลือน้อยกว่า10เหรียญ ระบบจะปลดล็อคเทิร์น/ปลดล็อคเหรียญโดยอัตโนมัติ
中文名称,中文名称,Chinese name,ชื่อภาษาจีน
英文名称,英文名称,English name,ชื่อภาษาอังกฤษ
泰文名称,泰文名称,Thai name,ชื่อภาษาไทย
#add
#玩家管理
唯一标识,唯一标识,,โลโก้เฉพาะ
玩家id,玩家id,,ID ผู้เล่น
商户,商户,,ID ผู้เล่น
搜索,搜索,,ค้นหา
总投注,总投注,,เดิมพันทั้งหมด
总赢分,总赢分,,คะแนนชนะรวม
最后登录时间,最后登录时间,,เข้าสู่ระบบล่าสุด
注册时间,注册时间,,เวลาลงทะเบียน
Slot奖池,Slot奖池,,พอตรางวัลSlot
百人奖池,百人奖池,,พอตรางวัลคาสิโนสด
#游戏运行时
可视化图表,可视化图表,,ไอคอนแสดงภาพ
表格,表格,,ตาราง
7日总流水,7日总流水,,ยอดเทิร์นรวม 7 วัน
7日总产出,7日总产出,,ผลผลิตรวม 7 วัน
7日总回报率,7日总回报率,,ผลตอบแทนรวม 7 วัน
系统收益,系统收益,,ผลตอบแทนรวม 7 วัน
DAU双周分析,DAU双周分析,,วิเคราะห์ DAU ครึ่งเดือน
本月总流水,本月总流水,,ยอดเทิร์นรวมเดือนนี้
本月总产出,本月总产出,,ผลผลิตรวมเดือนนี้
本月总回报率,本月总回报率,,ผลตอบแทนรวมเดือนนี้
总押注双周分析,总押注双周分析,,วิเคราะห์เดิมพันระบบครึ่งเดือน
总流水,总流水,,ยอดเทิร์นรวม
总产出,总产出,,ผลผลิตรวม
总回报率,总回报率,,ผลตอบแทนรวม
系统收益双周分析,系统收益双周分析,,วิเคราะห์รายได้ระบบครึ่งเดือน
购买小游戏总押注双周分析,购买小游戏总押注双周分析,,วิเคราะห์เดิมพันซื้อมินิเกมรวมครึ่งเดือน
回报率双周分析,回报率双周分析,,วิเคราะห์ผลตอบแทนครึ่งเดือน
购买小游戏回报率双周分析,购买小游戏回报率双周分析,,วิเคราะห์อัตราตอบแทนซื้อมินิเกมครึ่งเดือน
玩家注册时间,玩家注册时间,,เวลาลงทะเบียนผู้เล่น
玩家最后登录时间,玩家最后登录时间,,เวลาเข้าสู่ระบบล่าสุดของผู้เล่น
##游戏运行时-end
投注,投注,,เดิมพัน
赢分,赢分,,คะแนนที่ชนะ
回报率,回报率,,อ้ตราชนะ
总共,总共,,ทั้งหมด
页,页,,หน้า
跳转至,跳转至,,ข้ามไปที่
日期,日期,,วันที่
游戏ID,游戏ID,,ID ผู้เล่น
游戏名称,游戏名称,,ชื่อเกม
游戏难度,游戏难度,,ความยากของเกม
收益,收益,,รายได้
活跃用户,活跃用户,,ผู้ใช้ที่ใช้งาน
有效用户,有效用户,,ผู้ใช้ที่มีประสิทธิภาพ
添加商户,添加商户,,เพิ่มผู้ให้บริการ
id,id,,ID
商户名称,商户名称,,ชื่อผู้ให้บริการ
修改,修改,,แก้ไข
添加,添加,,เพิ่ม
权限设置,权限设置,,ตั้งค่าการอนุญาต
备注,备注,,หมายเหตุ
添加菜单,添加菜单,,เพิ่มเมนู
菜单名称,菜单名称,,ชื่อเมนู
操作,操作,,ดำเนินการ
添加下级,添加下级,,เพิ่มสายล่าง
修改,修改,,แก้ไข
删除,删除,,ลบ
权限名称,权限名称,,ชื่อการอนุญาต
admin权限组,admin权限组,,กลุ่มสิทธิ์ admin
系统创建,系统创建,,สร้างโดยระบบ
默认权限组,默认权限组,,กลุ่มสิทธิ์ค่าเริ่มต้น
权限组,权限组,,กลุ่มสิทธิ์
设置,设置,,ติดตั้ง
用户名称,用户名称,,ชื่อผู้ใช้
添加管理员,添加管理员,,เพิ่มผู้ดูแล
用户名称,用户名称,,ชื่อผู้ใช้
谷歌二维码,谷歌二维码,,คิวอาร์โค้ด Google
谷歌验证码,谷歌验证码,,รหัสยืนยัน Google
有效标志,有效标志,,สัญลักษณ์ที่มีผล
下注,下注,,เดิมพัน
游戏id,游戏id,,ID ผู้เล่น
Name,Name,,ชื่อ-สกุล
投注时间,投注时间,,เวลาที่เดิมพัน
投注金额,投注金额,,เดิมพัน
赢分金额,赢分金额,,คะแนนที่ชนะ
投注日期,投注日期,,เวลาที่เดิมพัน
日期查询,日期查询,,ค้นหาวันที่
当前日期无数据
商户名称不能为空
请给商户管理员配置权限
交易订单号
货币
投注金额
玩家输赢金额
玩家余额
游戏管理后台,游戏管理后台

首页,首页,home,หน้าแรก

玩家管理,玩家管理,player management,การจัดการผู้เล่น
玩家信息,玩家信息,Player information,ข้อมูลผู้เล่น
玩家信息（商户）,玩家信息（商户）,Player information（for Operator）,ข้อมูลผู้เล่น (ผู้ให้บริการ)
数据统计,数据统计,Statistics,ข้อมูลสถิติ
玩家数据,玩家数据,Player data,ประวัติผู้เล่น
每日游戏详情,每日游戏详情,Daily game details,รายละเอียดเกมรายวัน
产品数据,产品数据,product data,ข้อมูลผลิตภัณฑ์
下注历史,下注历史,Betting history,ประวัติเดิมพัน
每日平台汇总,每日平台汇总,Daily platform summary,สรุปข้อมูลรายวัน
每月平台汇总,每月平台汇总,Monthly platform summary,สรุปข้อมูลรายเดือน
平台玩家汇总,平台玩家汇总,Summary of platform players,สรุปข้อมูลผู้เล่น
平台汇总,平台汇总,Platform summary,สรุปข้อมูล
slots生成,slots生成,slots generation,กำหนดค่า slots
配置文件,配置文件,Configuration file,ตั้งค่าข้อมูล
产品管理,产品管理,product management,การจัดการผลิตภัณฑ์
产品列表,产品列表,Product List,รายการสินค้า
游戏,游戏,game,เกม
后台管理,后台管理,Backstage management,การจัดการหลังบ้าน
商户维护,商户维护,Carrier maintenance,ปรับปรุงโดยผู้ให้บริการ
功能菜单维护,功能菜单维护,Maintenance of function menu,ปรับปรุงเมนูฟังก์ชัน
功能权限维护,功能权限维护,Function permission maintenance,ปรับปรุงสิทธิ์การใช้งาน
用户维护,用户维护,User maintenance,ปรับปรุงผู้เล่น
游戏运行时统计,游戏运行时统计,Game runtime statistics,สถิติการทำงานของเกม

玩家id和唯一标识必填其中一项,玩家id和唯一标识必填其中一项,,จำเป็นต้องระบุ ID หรือ สัญลักษณ์อย่างใดอย่างหนึ่งเท่านั้น
当前日期无数据,当前日期无数据,,ปัจจุบันไม่มีข้อมูล
请给商户管理员配置权限,请给商户管理员配置权限,,โปรดอนุญาตการกำหนดค่าให้ผู้บริการ
请填写前端路由,请填写前端路由,,โปรดกรอก front-end routing
请填写名称,请填写名称,,กรุณากรอกชื่อ!
请填写权限名称,请填写权限名称,,กรุณากรอกชื่อการอนุญาต!
请选择商户,请选择商户,,กรุณาเลือกผู้ให้บริการ!
交易订单号,交易订单号,,หมายเลขคำสั่งซื้อ
货币,货币,,สกุลเงิน
投注金额,投注金额,,ยอดเงินเดิมพัน
玩家输赢金额,玩家输赢金额,,ยอดชนะและยอดเสียของผู้เล่น
玩家余额,玩家余额,,ยอดคงเหลือผู้เล่น
新玩家数量,新玩家数量,,จำนวนผู้เล่นใหม่
投注次数,投注次数,,จำนวนครั้งที่เดิมพัน
回合次数,回合次数,,จำนวนรอบ
总赢得金额,总赢得金额,,ยอดเงินที่ชนะทั้งหมด
玩家输赢,玩家输赢,,ผู้เล่นแพ้ชนะ
玩家输赢占比,玩家输赢占比,,อัตราส่วนชนะ/แพ้ของผู้เล่น
公司输赢,公司输赢,,บริษัทแพ้ชนะ
公司输赢占比,公司输赢占比,,อัตราส่วนชนะ/สูญเสียบริษัท
投注月份,投注月份,,เดิมพันต่อเดือน
增幅,增幅,,เพิ่มขึ้น
轻度,轻度,,น้อยลง
中度,中度,,ปานกลาง
重度,重度,,รุนแรง
简单,简单,,เรียบง่าย
一般,一般,,ทั่วไป
困难,困难,,ยาก
本周DAU,本周DAU,,DAU สัปดาห์นี้
上周DAU,上周DAU,,DAU สัปดาห์ก่อน
本周总押分,本周总押分,,ยอดรวมเดิมพันสัปดาห์นี้
上周总押分,上周总押分,,ยอดรวมเดิมพันสัปดาห์ก่อน
本周系统收益,本周系统收益,,รายได้ของระบบสัปดาห์นี้
上周系统收益,上周系统收益,,รายได้ของระบบสัปดาห์ก่อน
本周购买小游戏总押注,本周购买小游戏总押注,,เดิมพันรวมการซื้อมินิเกมสัปดาห์นี้
上周购买小游戏总押注,上周购买小游戏总押注,,เดิมพันรวมการซื้อมินิเกมสัปดาห์ก่อน
本周回报率,本周回报率,,ผลตอบแทนสัปดาห์นี้
上周回报率,上周回报率,,ผลตอบแทนสัปดาห์ก่อน
本周购买小游戏回报率,本周购买小游戏回报率,,ผลตอบแทนการซื้อมินิเกมในสัปดาห์นี้
上周购买小游戏回报率,上周购买小游戏回报率,,ผลตอบแทนการซื้อมินิเกมในสัปดาห์ก่อน
序号,序号,,ลำดับ
拉霸游戏,拉霸游戏,,เกมสล็อต
百人游戏,百人游戏,,เกมคาสิโนสด
